investor_id,sip_count,avg_gap,at_risk
INV000189,0,,False
INV000190,0,,False
INV000191,4,68.66666666666667,False
INV000192,1,,False
INV000193,1,,False
INV000194,4,100.66666666666667,False
INV000195,1,,False
INV000196,2,419.0,False
INV000197,0,,False
INV000198,1,,False
INV000199,0,,False
INV000200,0,,False
INV000201,3,28.5,False
INV000202,1,,False
INV000203,2,57.0,False
INV000204,1,,False
INV000205,2,459.0,False
INV000206,0,,False
INV000207,1,,False
INV000208,0,,False
INV000209,1,,False
INV000210,3,258.5,False
INV000211,3,210.0,False
INV000212,0,,False
INV000213,3,76.0,False
INV000214,3,181.5,False
INV000215,2,91.0,False
INV000216,0,,False
INV000217,4,182.0,False
INV000218,0,,False
INV000219,3,317.5,False
INV000220,3,270.0,False
INV000221,1,,False
INV000222,4,39.666666666666664,False
INV000223,1,,False
INV000224,3,117.0,False
INV000225,2,208.0,False
INV000226,3,123.5,False
INV000227,3,62.0,False
INV000228,7,45.666666666666664,True
INV000229,2,301.0,False
INV000230,2,32.0,False
INV000231,4,89.33333333333333,False
INV000232,1,,False
INV000233,1,,False
INV000234,3,200.5,False
INV000235,2,147.0,False
INV000236,1,,False
INV000237,1,,False
INV000238,3,182.0,False
INV000239,1,,False
INV000240,0,,False
INV000241,1,,False
INV000242,1,,False
INV000243,2,640.0,False
INV000244,1,,False
INV000245,2,203.0,False
INV000246,1,,False
INV000248,1,,False
INV000249,3,164.5,False
INV000251,1,,False
INV000252,1,,False
INV000253,0,,False
INV000254,1,,False
INV000255,4,49.0,False
INV000256,1,,False
INV000257,3,331.5,False
INV000258,0,,False
INV000259,3,303.5,False
INV000260,3,101.5,False
INV000261,2,510.0,False
INV000262,1,,False
INV000263,3,168.5,False
INV000264,0,,False
INV000265,2,454.0,False
INV000266,1,,False
INV000267,2,302.0,False
INV000268,0,,False
INV000269,0,,False
INV000270,1,,False
INV000271,1,,False
INV000272,1,,False
INV000273,0,,False
INV000274,1,,False
INV000275,1,,False
INV000276,3,121.5,False
INV000277,0,,False
INV000278,0,,False
INV000279,7,111.5,True
INV000280,4,193.33333333333334,False
INV000281,1,,False
INV000282,1,,False
INV000283,3,268.0,False
INV000284,2,61.0,False
INV000285,1,,False
INV000286,1,,False
INV000287,3,193.5,False
INV000288,2,399.0,False
INV000289,4,149.33333333333334,False
INV000290,1,,False
INV000291,3,240.5,False
INV000292,2,27.0,False
INV000293,2,88.0,False
INV000294,0,,False
INV000295,1,,False
INV000296,0,,False
INV000297,1,,False
INV000298,1,,False
INV000299,1,,False
INV000300,0,,False
INV000301,0,,False
INV000302,0,,False
INV000303,2,153.0,False
INV000304,4,141.66666666666666,False
INV000305,1,,False
INV000306,3,268.0,False
INV000307,1,,False
INV000308,2,88.0,False
INV000309,4,130.0,False
INV000310,3,179.0,False
INV000311,1,,False
INV000312,4,32.666666666666664,False
INV000313,0,,False
INV000314,2,60.0,False
INV000315,3,95.5,False
INV000316,2,90.0,False
INV000317,1,,False
INV000318,1,,False
INV000319,2,121.0,False
INV000320,2,70.0,False
INV000321,4,173.0,False
INV000322,0,,False
INV000323,1,,False
INV000325,0,,False
INV000326,1,,False
INV000327,1,,False
INV000328,4,140.66666666666666,False
INV000329,2,88.0,False
INV000330,2,51.0,False
INV000331,2,420.0,False
INV000332,1,,False
INV000333,1,,False
INV000334,5,16.0,False
INV000335,3,197.5,False
INV000336,0,,False
INV000337,4,80.33333333333333,False
INV000338,1,,False
INV000339,0,,False
INV000340,4,29.666666666666668,False
INV000341,4,80.66666666666667,False
INV000342,0,,False
INV000343,0,,False
INV000344,3,163.0,False
INV000345,1,,False
INV000346,0,,False
INV000347,0,,False
INV000348,0,,False
INV000349,2,158.0,False
INV000350,2,180.0,False
INV000351,3,79.5,False
INV000352,2,213.0,False
INV000353,0,,False
INV000354,1,,False
INV000355,0,,False
INV000356,2,336.0,False
INV000357,2,87.0,False
INV000358,0,,False
INV000359,4,169.0,False
INV000360,4,171.33333333333334,False
INV000361,1,,False
INV000363,2,2.0,False
INV000364,1,,False
INV000366,1,,False
INV000367,3,74.5,False
INV000368,0,,False
INV000369,3,155.0,False
INV000370,1,,False
INV000371,1,,False
INV000372,3,65.0,False
INV000373,0,,False
INV000374,3,258.5,False
INV000376,0,,False
INV000377,3,166.0,False
INV000378,2,306.0,False
INV000379,1,,False
INV000380,0,,False
INV000381,1,,False
INV000382,0,,False
INV000383,3,302.0,False
INV000384,2,450.0,False
INV000385,1,,False
INV000386,1,,False
INV000387,1,,False
INV000388,3,137.0,False
INV000389,1,,False
INV000390,3,163.5,False
INV000391,0,,False
INV000392,3,136.5,False
INV000393,1,,False
INV000394,1,,False
INV000395,2,91.0,False
INV000396,3,64.5,False
INV000397,2,32.0,False
INV000399,1,,False
INV000400,5,159.25,False
INV000401,0,,False
INV000402,1,,False
INV000403,0,,False
INV000404,0,,False
INV000405,0,,False
INV000406,0,,False
INV000407,2,59.0,False
INV000408,2,91.0,False
INV000409,1,,False
INV000410,3,285.5,False
INV000411,2,179.0,False
INV000412,4,141.33333333333334,False
INV000413,2,454.0,False
INV000414,4,122.0,False
INV000415,2,242.0,False
INV000416,2,265.0,False
INV000417,2,303.0,False
INV000418,1,,False
INV000419,1,,False
INV000420,1,,False
INV000421,1,,False
INV000422,0,,False
INV000423,2,670.0,False
INV000424,0,,False
INV000425,2,275.0,False
INV000426,0,,False
INV000427,1,,False
INV000428,5,77.25,False
INV000429,3,225.0,False
INV000430,1,,False
INV000431,3,138.0,False
INV000432,1,,False
INV000433,1,,False
INV000434,1,,False
INV000435,1,,False
INV000436,2,633.0,False
INV000437,3,230.0,False
INV000438,2,37.0,False
INV000439,1,,False
INV000440,2,514.0,False
INV000441,2,89.0,False
INV000442,0,,False
INV000443,0,,False
INV000444,1,,False
INV000445,3,132.5,False
INV000446,2,61.0,False
INV000449,3,195.5,False
INV000450,1,,False
INV000452,6,108.6,True
INV000453,1,,False
INV000454,2,643.0,False
INV000455,1,,False
INV000456,2,29.0,False
INV000457,1,,False
INV000458,2,333.0,False
INV000459,2,28.0,False
INV000460,4,61.0,False
INV000461,2,27.0,False
INV000462,1,,False
INV000463,3,103.5,False
INV000465,2,121.0,False
INV000466,3,197.0,False
INV000467,4,233.66666666666666,False
INV000468,1,,False
INV000469,4,109.33333333333333,False
INV000470,1,,False
INV000471,0,,False
INV000472,1,,False
INV000473,0,,False
INV000474,1,,False
INV000475,0,,False
INV000476,2,61.0,False
INV000477,0,,False
INV000478,2,33.0,False
INV000479,1,,False
INV000480,4,71.33333333333333,False
INV000481,1,,False
INV000482,1,,False
INV000483,3,46.5,False
INV000484,0,,False
INV000485,2,148.0,False
INV000487,3,29.0,False
INV000488,1,,False
INV000489,2,388.0,False
INV000490,1,,False
INV000491,2,454.0,False
INV000492,2,26.0,False
INV000493,5,152.5,False
INV000494,2,354.0,False
INV000495,1,,False
INV000496,4,69.33333333333333,False
INV000497,1,,False
INV000498,0,,False
INV000499,5,114.75,False
INV000500,1,,False
INV000501,1,,False
INV000502,0,,False
INV000503,1,,False
INV000504,0,,False
INV000505,2,162.0,False
INV000506,1,,False
INV000507,3,80.5,False
INV000509,1,,False
INV000510,0,,False
INV000511,0,,False
INV000512,4,89.66666666666667,False
INV000513,1,,False
INV000514,1,,False
INV000516,0,,False
INV000517,0,,False
INV000518,1,,False
INV000519,0,,False
INV000520,2,57.0,False
INV000521,2,155.0,False
INV000522,3,105.0,False
INV000523,3,255.5,False
INV000524,3,225.0,False
INV000525,1,,False
INV000526,0,,False
INV000527,2,93.0,False
INV000528,0,,False
INV000529,1,,False
INV000530,2,185.0,False
INV000531,3,208.5,False
INV000532,1,,False
INV000533,2,93.0,False
INV000534,1,,False
INV000535,3,276.0,False
INV000536,0,,False
INV000537,1,,False
INV000538,2,33.0,False
INV000539,4,113.33333333333333,False
INV000540,3,89.0,False
INV000541,0,,False
INV000542,3,79.0,False
INV000543,2,123.0,False
INV000544,2,150.0,False
INV000545,2,206.0,False
INV000546,5,68.25,False
INV000547,3,135.0,False
INV000548,2,487.0,False
INV000549,1,,False
INV000550,2,246.0,False
INV000551,1,,False
INV000552,1,,False
INV000553,1,,False
INV000554,3,164.0,False
INV000555,2,29.0,False
INV000556,4,152.0,False
INV000557,0,,False
INV000558,1,,False
INV000559,2,88.0,False
INV000560,1,,False
INV000561,0,,False
INV000562,3,243.5,False
INV000563,1,,False
INV000564,1,,False
INV000565,2,23.0,False
INV000566,1,,False
INV000567,1,,False
INV000568,2,210.0,False
INV000569,2,274.0,False
INV000570,5,113.5,False
INV000571,0,,False
INV000572,2,97.0,False
INV000573,2,32.0,False
INV000574,1,,False
INV000575,3,257.5,False
INV000576,0,,False
INV000577,3,109.0,False
INV000578,3,272.0,False
INV000579,0,,False
INV000580,2,303.0,False
INV000581,1,,False
INV000583,0,,False
INV000584,2,338.0,False
INV000585,0,,False
INV000586,3,106.5,False
INV000587,2,693.0,False
INV000588,0,,False
INV000589,1,,False
INV000590,0,,False
INV000591,2,545.0,False
INV000592,1,,False
INV000593,2,298.0,False
INV000594,1,,False
INV000595,3,57.0,False
INV000596,3,199.0,False
INV000597,4,64.0,False
INV000598,3,106.5,False
INV000599,1,,False
INV000600,2,126.0,False
INV000601,3,48.0,False
INV000602,2,120.0,False
INV000603,3,199.0,False
INV000604,3,168.5,False
INV000605,0,,False
INV000606,0,,False
INV000607,3,60.0,False
INV000608,1,,False
INV000609,2,4.0,False
INV000611,2,300.0,False
INV000612,4,100.0,False
INV000613,0,,False
INV000614,0,,False
INV000615,2,449.0,False
INV000616,4,183.66666666666666,False
INV000617,0,,False
INV000618,1,,False
INV000619,2,30.0,False
INV000620,1,,False
INV000621,0,,False
INV000622,0,,False
INV000623,1,,False
INV000624,2,187.0,False
INV000625,2,155.0,False
INV000626,1,,False
INV000627,0,,False
INV000628,0,,False
INV000629,0,,False
INV000630,0,,False
INV000631,3,119.5,False
INV000632,0,,False
INV000633,0,,False
INV000634,1,,False
INV000635,1,,False
INV000636,1,,False
INV000637,1,,False
INV000638,1,,False
INV000639,1,,False
INV000640,1,,False
INV000641,4,131.0,False
INV000642,3,30.5,False
INV000643,1,,False
INV000644,1,,False
INV000645,3,148.0,False
INV000646,3,181.0,False
INV000647,0,,False
INV000648,1,,False
INV000649,1,,False
INV000650,1,,False
INV000651,3,123.0,False
INV000652,2,113.0,False
INV000653,1,,False
INV000654,1,,False
INV000656,0,,False
INV000657,3,273.0,False
INV000658,1,,False
INV000659,2,5.0,False
INV000660,1,,False
INV000661,1,,False
INV000662,4,193.66666666666666,False
INV000663,2,4.0,False
INV000664,4,149.66666666666666,False
INV000665,4,101.0,False
INV000666,2,93.0,False
INV000667,2,146.0,False
INV000668,1,,False
INV000669,0,,False
INV000670,1,,False
INV000671,2,236.0,False
INV000672,0,,False
INV000673,1,,False
INV000674,1,,False
INV000675,3,209.5,False
INV000676,8,81.42857142857143,True
INV000677,0,,False
INV000678,4,180.66666666666666,False
INV000679,0,,False
INV000680,2,511.0,False
INV000681,0,,False
INV000682,1,,False
INV000683,2,172.0,False
INV000684,0,,False
INV000685,1,,False
INV000686,0,,False
INV000687,2,282.0,False
INV000688,1,,False
INV000689,2,93.0,False
INV000690,1,,False
INV000691,0,,False
INV000692,0,,False
INV000693,1,,False
INV000695,2,638.0,False
INV000696,2,120.0,False
INV000698,3,121.0,False
INV000699,0,,False
INV000700,0,,False
INV000701,2,144.0,False
INV000702,1,,False
INV000703,1,,False
INV000704,2,38.0,False
INV000705,1,,False
INV000706,0,,False
INV000707,5,150.5,False
INV000708,2,542.0,False
INV000709,3,137.5,False
INV000710,1,,False
INV000711,2,305.0,False
INV000713,1,,False
INV000714,3,134.5,False
INV000715,2,388.0,False
INV000716,1,,False
INV000717,1,,False
INV000718,1,,False
INV000719,4,152.66666666666666,False
INV000720,0,,False
INV000721,2,204.0,False
INV000722,1,,False
INV000723,2,181.0,False
INV000724,3,180.5,False
INV000725,1,,False
INV000726,2,5.0,False
INV000727,0,,False
INV000728,2,477.0,False
INV000729,1,,False
INV000730,0,,False
INV000731,1,,False
INV000732,0,,False
INV000733,1,,False
INV000734,1,,False
INV000735,1,,False
INV000736,1,,False
INV000737,3,244.0,False
INV000738,3,269.0,False
INV000739,2,65.0,False
INV000740,0,,False
INV000741,2,151.0,False
INV000742,3,196.5,False
INV000743,0,,False
INV000744,1,,False
INV000745,2,454.0,False
INV000746,0,,False
INV000747,2,573.0,False
INV000748,1,,False
INV000749,1,,False
INV000750,2,360.0,False
INV000751,4,92.33333333333333,False
INV000752,3,153.5,False
INV000753,1,,False
INV000754,4,203.33333333333334,False
INV000755,1,,False
INV000756,2,214.0,False
INV000757,1,,False
INV000758,1,,False
INV000759,3,93.0,False
INV000760,0,,False
INV000761,1,,False
INV000762,2,57.0,False
INV000763,1,,False
INV000764,1,,False
INV000765,2,181.0,False
INV000766,1,,False
INV000767,1,,False
INV000768,5,173.0,False
INV000769,2,451.0,False
INV000770,0,,False
INV000771,3,256.0,False
INV000772,2,249.0,False
INV000774,3,287.5,False
INV000775,0,,False
INV000776,2,487.0,False
INV000777,2,32.0,False
INV000778,3,209.5,False
INV000779,0,,False
INV000780,0,,False
INV000781,3,168.0,False
INV000782,1,,False
INV000783,3,151.0,False
INV000784,1,,False
INV000785,2,357.0,False
INV000786,3,60.5,False
INV000787,1,,False
INV000788,3,94.5,False
INV000789,4,181.66666666666666,False
INV000790,0,,False
INV000791,1,,False
INV000792,2,303.0,False
INV000793,3,302.0,False
INV000794,1,,False
INV000795,0,,False
INV000796,1,,False
INV000797,1,,False
INV000798,0,,False
INV000799,0,,False
INV000800,1,,False
INV000801,0,,False
INV000802,1,,False
INV000803,4,201.0,False
INV000804,1,,False
INV000806,1,,False
INV000808,1,,False
INV000809,2,93.0,False
INV000810,3,288.5,False
INV000811,1,,False
INV000813,3,152.0,False
INV000814,2,179.0,False
INV000815,1,,False
INV000816,0,,False
INV000818,0,,False
INV000819,0,,False
INV000820,1,,False
INV000821,1,,False
INV000822,3,152.5,False
INV000823,2,245.0,False
INV000824,1,,False
INV000825,2,124.0,False
INV000826,0,,False
INV000827,3,76.0,False
INV000828,1,,False
INV000829,3,108.5,False
INV000830,2,326.0,False
INV000831,4,90.0,False
INV000832,0,,False
INV000833,2,6.0,False
INV000834,1,,False
INV000835,1,,False
INV000836,4,113.33333333333333,False
INV000837,1,,False
INV000838,1,,False
INV000839,0,,False
INV000840,1,,False
INV000841,1,,False
INV000842,1,,False
INV000843,4,140.66666666666666,False
INV000844,5,159.25,False
INV000845,2,329.0,False
INV000846,1,,False
INV000847,4,118.66666666666667,False
INV000848,1,,False
INV000849,0,,False
INV000850,2,28.0,False
INV000851,3,238.0,False
INV000852,3,259.5,False
INV000853,2,633.0,False
INV000854,4,203.33333333333334,False
INV000855,2,430.0,False
INV000856,1,,False
INV000857,2,93.0,False
INV000858,3,151.0,False
INV000859,1,,False
INV000860,2,513.0,False
INV000861,0,,False
INV000862,3,289.5,False
INV000863,1,,False
INV000864,2,86.0,False
INV000865,2,543.0,False
INV000866,1,,False
INV000867,2,86.0,False
INV000868,0,,False
INV000869,2,58.0,False
INV000870,0,,False
INV000871,1,,False
INV000872,0,,False
INV000873,4,141.66666666666666,False
INV000874,4,212.33333333333334,False
INV000875,1,,False
INV000876,0,,False
INV000877,3,105.0,False
INV000878,0,,False
INV000879,2,33.0,False
INV000880,0,,False
INV000881,3,41.0,False
INV000882,1,,False
INV000883,0,,False
INV000884,1,,False
INV000885,2,212.0,False
INV000886,1,,False
INV000887,0,,False
INV000888,3,150.5,False
INV000889,1,,False
INV000890,2,91.0,False
INV000891,1,,False
INV000892,1,,False
INV000893,4,104.33333333333333,False
INV000894,3,133.0,False
INV000895,1,,False
INV000896,0,,False
INV000897,3,301.0,False
INV000898,0,,False
INV000899,1,,False
INV000900,1,,False
INV000901,2,5.0,False
INV000902,3,120.0,False
INV000904,1,,False
INV000905,0,,False
INV000906,1,,False
INV000907,2,2.0,False
INV000908,2,182.0,False
INV000909,4,170.0,False
INV000910,2,181.0,False
INV000911,1,,False
INV000912,1,,False
INV000913,0,,False
INV000914,2,83.0,False
INV000915,0,,False
INV000916,1,,False
INV000918,0,,False
INV000919,2,604.0,False
INV000920,4,213.33333333333334,False
INV000921,1,,False
INV000922,0,,False
INV000923,0,,False
INV000924,1,,False
INV000925,1,,False
INV000926,3,229.0,False
INV000927,3,107.0,False
INV000928,0,,False
INV000929,2,692.0,False
INV000930,4,119.66666666666667,False
INV000931,3,317.5,False
INV000933,0,,False
INV000934,2,59.0,False
INV000935,4,110.66666666666667,False
INV000936,1,,False
INV000937,1,,False
INV000938,0,,False
INV000939,4,150.0,False
INV000940,0,,False
INV000941,0,,False
INV000942,3,72.0,False
INV000943,0,,False
INV000944,2,213.0,False
INV000945,1,,False
INV000946,1,,False
INV000947,2,92.0,False
INV000948,1,,False
INV000949,3,243.5,False
INV000950,1,,False
INV000951,0,,False
INV000953,2,217.0,False
INV000954,4,214.66666666666666,False
INV000955,1,,False
INV000956,1,,False
INV000957,1,,False
INV000958,2,150.0,False
INV000959,1,,False
INV000960,2,92.0,False
INV000961,1,,False
INV000962,3,58.0,False
INV000963,2,454.0,False
INV000964,0,,False
INV000965,1,,False
INV000966,2,87.0,False
INV000967,1,,False
INV000968,1,,False
INV000969,1,,False
INV000970,1,,False
INV000971,2,423.0,False
INV000972,2,5.0,False
INV000974,3,332.0,False
INV000975,0,,False
INV000977,3,258.5,False
INV000978,2,223.0,False
INV000979,5,128.0,False
INV000980,4,190.0,False
INV000981,4,128.66666666666666,False
INV000982,1,,False
INV000983,3,141.5,False
INV000984,1,,False
INV000985,1,,False
INV000986,0,,False
INV000987,1,,False
INV000988,0,,False
INV000989,1,,False
INV000990,2,9.0,False
INV000991,1,,False
INV000992,2,269.0,False
INV000993,0,,False
INV000994,4,109.33333333333333,False
INV000995,2,385.0,False
INV000997,2,116.0,False
INV000998,1,,False
INV000999,4,70.33333333333333,False
INV001001,2,517.0,False
INV001002,7,51.333333333333336,True
INV001003,1,,False
INV001004,1,,False
INV001005,4,111.66666666666667,False
INV001006,3,49.5,False
INV001007,0,,False
INV001008,5,150.0,False
INV001009,0,,False
INV001010,0,,False
INV001011,3,138.5,False
INV001012,2,66.0,False
INV001013,3,153.5,False
INV001014,3,244.0,False
INV001015,0,,False
INV001016,1,,False
INV001017,2,302.0,False
INV001019,5,174.25,False
INV001020,2,211.0,False
INV001021,3,168.0,False
INV001023,2,345.0,False
INV001024,0,,False
INV001025,1,,False
INV001026,3,110.5,False
INV001027,0,,False
INV001028,3,303.0,False
INV001029,2,132.0,False
INV001030,0,,False
INV001031,2,121.0,False
INV001032,1,,False
INV001033,1,,False
INV001034,1,,False
INV001035,0,,False
INV001036,1,,False
INV001037,5,120.75,False
INV001038,2,145.0,False
INV001039,5,120.75,False
INV001040,1,,False
INV001041,4,122.33333333333333,False
INV001042,1,,False
INV001043,1,,False
INV001044,0,,False
INV001045,1,,False
INV001046,2,507.0,False
INV001047,1,,False
INV001048,4,190.0,False
INV001049,1,,False
INV001050,2,449.0,False
INV001051,4,171.0,False
INV001052,1,,False
INV001053,1,,False
INV001054,0,,False
INV001055,1,,False
INV001056,0,,False
INV001057,1,,False
INV001058,3,210.0,False
INV001059,0,,False
INV001060,2,477.0,False
INV001061,4,121.66666666666667,False
INV001062,1,,False
INV001063,4,81.0,False
INV001064,3,47.0,False
INV001065,3,303.0,False
INV001066,0,,False
INV001067,2,453.0,False
INV001068,1,,False
INV001069,4,201.33333333333334,False
INV001070,3,275.5,False
INV001071,0,,False
INV001072,1,,False
INV001073,1,,False
INV001074,1,,False
INV001075,2,81.0,False
INV001076,1,,False
INV001077,2,92.0,False
INV001079,0,,False
INV001080,2,598.0,False
INV001081,0,,False
INV001082,1,,False
INV001083,3,193.5,False
INV001084,1,,False
INV001085,0,,False
INV001086,0,,False
INV001087,1,,False
INV001088,1,,False
INV001089,0,,False
INV001090,0,,False
INV001091,2,394.0,False
INV001092,2,71.0,False
INV001093,1,,False
INV001094,1,,False
INV001095,0,,False
INV001096,0,,False
INV001099,2,155.0,False
INV001100,1,,False
INV001101,3,256.0,False
INV001102,5,81.5,False
INV001103,1,,False
INV001104,1,,False
INV001105,0,,False
INV001106,2,208.0,False
INV001107,1,,False
INV001108,0,,False
INV001109,2,88.0,False
INV001110,0,,False
INV001111,2,61.0,False
INV001112,3,133.0,False
INV001113,1,,False
INV001114,1,,False
INV001115,3,182.5,False
INV001116,3,166.5,False
INV001117,1,,False
INV001118,1,,False
INV001119,1,,False
INV001120,1,,False
INV001121,1,,False
INV001122,2,132.0,False
INV001123,2,23.0,False
INV001124,2,187.0,False
INV001126,1,,False
INV001127,1,,False
INV001128,2,4.0,False
INV001129,0,,False
INV001130,3,105.5,False
INV001131,2,449.0,False
INV001132,0,,False
INV001133,1,,False
INV001134,0,,False
INV001136,0,,False
INV001137,5,119.25,False
INV001138,1,,False
INV001139,0,,False
INV001140,2,693.0,False
INV001141,1,,False
INV001142,4,201.66666666666666,False
INV001143,1,,False
INV001144,2,60.0,False
INV001145,1,,False
INV001146,0,,False
INV001148,1,,False
INV001149,0,,False
INV001150,2,326.0,False
INV001151,1,,False
INV001152,3,119.0,False
INV001153,0,,False
INV001154,1,,False
INV001155,2,117.0,False
INV001156,2,641.0,False
INV001157,2,333.0,False
INV001158,1,,False
INV001159,0,,False
INV001160,6,121.8,True
INV001161,3,46.0,False
INV001163,4,81.33333333333333,False
INV001164,1,,False
INV001165,1,,False
INV001166,0,,False
INV001167,2,0.0,False
INV001168,3,208.0,False
INV001169,0,,False
INV001170,4,162.0,False
INV001171,0,,False
INV001172,1,,False
INV001173,1,,False
INV001174,1,,False
INV001175,1,,False
INV001176,0,,False
INV001177,1,,False
INV001178,4,89.66666666666667,False
INV001179,0,,False
INV001180,2,332.0,False
INV001181,4,121.0,False
INV001182,1,,False
INV001183,4,88.66666666666667,False
INV001184,0,,False
INV001185,1,,False
INV001186,3,16.0,False
INV001187,0,,False
INV001188,0,,False
INV001189,1,,False
INV001190,5,105.75,False
INV001191,0,,False
INV001192,1,,False
INV001193,2,235.0,False
INV001194,1,,False
INV001195,2,299.0,False
INV001196,2,696.0,False
INV001197,0,,False
INV001198,2,241.0,False
INV001199,0,,False
INV001200,1,,False
INV001201,1,,False
INV001202,6,138.2,True
INV001203,1,,False
INV001204,0,,False
INV001205,0,,False
INV001206,4,141.0,False
INV001207,2,116.0,False
INV001208,2,387.0,False
INV001209,0,,False
INV001210,5,83.25,False
INV001211,0,,False
INV001212,2,298.0,False
INV001213,0,,False
INV001214,0,,False
INV001215,2,274.0,False
INV001216,1,,False
INV001217,2,206.0,False
INV001218,2,274.0,False
INV001219,5,63.0,False
INV001220,2,81.0,False
INV001221,1,,False
INV001222,2,546.0,False
INV001223,4,92.66666666666667,False
INV001224,0,,False
INV001225,2,85.0,False
INV001226,0,,False
INV001227,1,,False
INV001228,2,576.0,False
INV001229,0,,False
INV001230,2,309.0,False
INV001231,0,,False
INV001232,2,390.0,False
INV001233,2,189.0,False
INV001234,2,326.0,False
INV001235,7,111.33333333333333,True
INV001236,2,65.0,False
INV001237,2,32.0,False
INV001238,2,425.0,False
INV001239,0,,False
INV001240,0,,False
INV001241,2,122.0,False
INV001242,2,388.0,False
INV001243,1,,False
INV001244,3,93.0,False
INV001245,1,,False
INV001246,0,,False
INV001247,4,130.66666666666666,False
INV001248,1,,False
INV001249,1,,False
INV001250,0,,False
INV001251,2,334.0,False
INV001254,0,,False
INV001255,0,,False
INV001256,2,213.0,False
INV001257,1,,False
