date,nav
2022-06-11,426.8679
2022-06-12,485.0894
2022-06-13,485.0894
2022-06-14,485.0894
2022-06-15,485.0894
2022-06-16,485.0894
2022-06-17,485.0894
2022-06-18,485.0894
2022-06-19,485.0894
2022-06-20,485.0894
2022-06-21,485.0894
2022-06-22,485.0894
2022-06-23,485.0894
2022-06-24,485.0894
2022-06-25,485.0894
2022-06-26,485.0894
2022-06-27,485.0894
2022-06-28,485.0894
2022-06-29,485.0894
2022-06-30,485.0894
2022-07-01,515.1639
2022-07-02,508.0666
2022-07-03,504.411
2022-07-04,526.7582
2022-07-05,526.7582
2022-07-06,481.6458
2022-07-07,446.2213
2022-07-08,446.2213
2022-07-09,418.6355
2022-07-10,421.495
2022-07-11,457.1295
2022-07-12,481.0854
2022-07-13,481.0854
2022-07-14,481.0854
2022-07-15,481.0854
2022-07-16,481.0854
2022-07-17,481.0854
2022-07-18,481.0854
2022-07-19,481.0854
2022-07-20,481.0854
2022-07-21,481.0854
2022-07-22,481.0854
2022-07-23,481.0854
2022-07-24,481.0854
2022-07-25,481.0854
2022-07-26,481.0854
2022-07-27,481.0854
2022-07-28,481.0854
2022-07-29,481.0854
2022-07-30,481.0854
2022-07-31,481.0854
2022-08-01,481.0854
2022-08-02,510.3595
2022-08-03,518.6513
2022-08-04,525.7986
2022-08-05,525.7986
2022-08-06,480.4735
2022-08-07,440.6669
2022-08-08,423.1925
2022-08-09,423.2368
2022-08-10,423.2368
2022-08-11,457.3685
2022-08-12,483.5409
2022-08-13,483.5409
2022-08-14,483.5409
2022-08-15,483.5409
2022-08-16,483.5409
2022-08-17,483.5409
2022-08-18,483.5409
2022-08-19,483.5409
2022-08-20,483.5409
2022-08-21,483.5409
2022-08-22,483.5409
2022-08-23,483.5409
2022-08-24,483.5409
2022-08-25,483.5409
2022-08-26,483.5409
2022-08-27,483.5409
2022-08-28,483.5409
2022-08-29,483.5409
2022-08-30,483.5409
2022-08-31,483.5409
2022-09-01,483.5409
2022-09-02,509.0223
2022-09-03,517.7387
2022-09-04,517.7387
2022-09-05,516.5793
2022-09-06,473.1759
2022-09-07,473.1759
2022-09-08,422.7537
2022-09-09,424.9639
2022-09-10,424.9639
2022-09-11,460.3808
2022-09-12,487.4889
2022-09-13,487.4889
2022-09-14,487.4889
2022-09-15,487.4889
2022-09-16,487.4889
2022-09-17,487.4889
2022-09-18,487.4889
2022-09-19,487.4889
2022-09-20,487.4889
2022-09-21,487.4889
2022-09-22,487.4889
2022-09-23,487.4889
2022-09-24,487.4889
2022-09-25,487.4889
2022-09-26,487.4889
2022-09-27,487.4889
2022-09-28,487.4889
2022-09-29,487.4889
2022-09-30,487.4889
2022-10-01,510.7136
2022-10-02,509.4161
2022-10-03,520.3416
2022-10-04,520.3416
2022-10-05,511.4204
2022-10-06,471.0598
2022-10-07,471.0598
2022-10-08,412.293
2022-10-09,412.293
2022-10-10,422.2208
2022-10-11,451.9519
2022-10-12,451.9519
2022-10-13,451.9519
2022-10-14,451.9519
2022-10-15,451.9519
2022-10-16,451.9519
2022-10-17,451.9519
2022-10-18,451.9519
2022-10-19,451.9519
2022-10-20,451.9519
2022-10-21,451.9519
2022-10-22,451.9519
2022-10-23,451.9519
2022-10-24,451.9519
2022-10-25,451.9519
2022-10-26,451.9519
2022-10-27,451.9519
2022-10-28,451.9519
2022-10-29,451.9519
2022-10-30,451.9519
2022-10-31,451.9519
2022-11-01,513.5542
2022-11-02,512.826
2022-11-03,517.6372
2022-11-04,526.2264
2022-11-05,504.9889
2022-11-06,504.9889
2022-11-07,447.4448
2022-11-08,418.6311
2022-11-09,418.6311
2022-11-10,422.5333
2022-11-11,453.9711
2022-11-12,453.9711
2022-11-13,453.9711
2022-11-14,453.9711
2022-11-15,453.9711
2022-11-16,453.9711
2022-11-17,453.9711
2022-11-18,453.9711
2022-11-19,453.9711
2022-11-20,453.9711
2022-11-21,453.9711
2022-11-22,453.9711
2022-11-23,453.9711
2022-11-24,453.9711
2022-11-25,453.9711
2022-11-26,453.9711
2022-11-27,453.9711
2022-11-28,453.9711
2022-11-29,453.9711
2022-11-30,453.9711
2022-12-01,512.3195
2022-12-02,512.3195
2022-12-03,512.3195
2022-12-04,527.7466
2022-12-05,495.8735
2022-12-06,495.8735
2022-12-07,444.7739
2022-12-08,415.5307
2022-12-09,421.5737
2022-12-10,420.0881
2022-12-11,420.0881
2022-12-12,488.4785
2022-12-13,488.4785
2022-12-14,488.4785
2022-12-15,488.4785
2022-12-16,488.4785
2022-12-17,488.4785
2022-12-18,488.4785
2022-12-19,488.4785
2022-12-20,488.4785
2022-12-21,488.4785
2022-12-22,488.4785
2022-12-23,488.4785
2022-12-24,488.4785
2022-12-25,488.4785
2022-12-26,488.4785
2022-12-27,488.4785
2022-12-28,488.4785
2022-12-29,488.4785
2022-12-30,488.4785
2022-12-31,488.4785
2023-01-01,488.4785
2023-01-02,487.5779
2023-01-03,508.6667
2023-01-04,508.6667
2023-01-05,571.1134
2023-01-06,565.0931
2023-01-07,565.0931
2023-01-08,575.2193
2023-01-09,576.8994
2023-01-10,576.8994
2023-01-11,578.126
2023-01-12,578.1473
2023-01-13,578.1473
2023-01-14,578.1473
2023-01-15,578.1473
2023-01-16,578.1473
2023-01-17,578.1473
2023-01-18,578.1473
2023-01-19,578.1473
2023-01-20,578.1473
2023-01-21,578.1473
2023-01-22,578.1473
2023-01-23,578.1473
2023-01-24,578.1473
2023-01-25,578.1473
2023-01-26,578.1473
2023-01-27,578.1473
2023-01-28,578.1473
2023-01-29,578.1473
2023-01-30,578.1473
2023-01-31,578.1473
2023-02-01,470.8644
2023-02-02,484.0122
2023-02-03,512.7785
2023-02-04,512.7785
2023-02-05,565.6753
2023-02-06,563.6716
2023-02-07,563.6716
2023-02-08,569.2005
2023-02-09,569.2005
2023-02-10,582.5895
2023-02-11,582.6704
2023-02-12,582.6704
2023-02-13,582.6704
2023-02-14,582.6704
2023-02-15,582.6704
2023-02-16,582.6704
2023-02-17,582.6704
2023-02-18,582.6704
2023-02-19,582.6704
2023-02-20,582.6704
2023-02-21,582.6704
2023-02-22,582.6704
2023-02-23,582.6704
2023-02-24,582.6704
2023-02-25,582.6704
2023-02-26,582.6704
2023-02-27,582.6704
2023-02-28,582.6704
2023-03-01,472.9663
2023-03-02,478.2065
2023-03-03,514.5893
2023-03-04,567.2319
2023-03-05,566.404
2023-03-06,566.404
2023-03-07,576.7654
2023-03-08,561.849
2023-03-09,561.849
2023-03-10,580.8402
2023-03-11,579.7325
2023-03-12,579.7325
2023-03-13,579.7325
2023-03-14,579.7325
2023-03-15,579.7325
2023-03-16,579.7325
2023-03-17,579.7325
2023-03-18,579.7325
2023-03-19,579.7325
2023-03-20,579.7325
2023-03-21,579.7325
2023-03-22,579.7325
2023-03-23,579.7325
2023-03-24,579.7325
2023-03-25,579.7325
2023-03-26,579.7325
2023-03-27,579.7325
2023-03-28,579.7325
2023-03-29,579.7325
2023-03-30,579.7325
2023-03-31,579.7325
2023-04-01,474.0441
2023-04-02,474.0441
2023-04-03,474.0441
2023-04-04,561.1622
2023-04-05,567.8622
2023-04-06,567.8622
2023-04-07,576.8293
2023-04-08,570.0239
2023-04-09,573.398
2023-04-10,581.8024
2023-04-11,581.8024
2023-04-12,575.5467
2023-04-13,575.5467
2023-04-14,575.5467
2023-04-15,575.5467
2023-04-16,575.5467
2023-04-17,575.5467
2023-04-18,575.5467
2023-04-19,575.5467
2023-04-20,575.5467
2023-04-21,575.5467
2023-04-22,575.5467
2023-04-23,575.5467
2023-04-24,575.5467
2023-04-25,575.5467
2023-04-26,575.5467
2023-04-27,575.5467
2023-04-28,575.5467
2023-04-29,575.5467
2023-04-30,575.5467
2023-05-01,478.8877
2023-05-02,478.8877
2023-05-03,478.8877
2023-05-04,557.0355
2023-05-05,564.5686
2023-05-06,563.3934
2023-05-07,577.0426
2023-05-08,577.0426
2023-05-09,575.8066
2023-05-10,581.7779
2023-05-11,581.7779
2023-05-12,574.0293
2023-05-13,574.0293
2023-05-14,574.0293
2023-05-15,574.0293
2023-05-16,574.0293
2023-05-17,574.0293
2023-05-18,574.0293
2023-05-19,574.0293
2023-05-20,574.0293
2023-05-21,574.0293
2023-05-22,574.0293
2023-05-23,574.0293
2023-05-24,574.0293
2023-05-25,574.0293
2023-05-26,574.0293
2023-05-27,574.0293
2023-05-28,574.0293
2023-05-29,574.0293
2023-05-30,574.0293
2023-05-31,574.0293
2023-06-01,481.1631
2023-06-02,478.7459
2023-06-03,521.7123
2023-06-04,550.7921
2023-06-05,550.7921
2023-06-06,564.4191
2023-06-07,580.8301
2023-06-08,580.8301
2023-06-09,582.0642
2023-06-10,578.7012
2023-06-11,581.5232
2023-06-12,587.8432
2023-06-13,587.8432
2023-06-14,587.8432
2023-06-15,587.8432
2023-06-16,587.8432
2023-06-17,587.8432
2023-06-18,587.8432
2023-06-19,587.8432
2023-06-20,587.8432
2023-06-21,587.8432
2023-06-22,587.8432
2023-06-23,587.8432
2023-06-24,587.8432
2023-06-25,587.8432
2023-06-26,587.8432
2023-06-27,587.8432
2023-06-28,587.8432
2023-06-29,587.8432
2023-06-30,587.8432
2023-07-01,587.8432
2023-07-02,482.6505
2023-07-03,522.3246
2023-07-04,557.6109
2023-07-05,557.6109
2023-07-06,560.929
2023-07-07,584.1654
2023-07-08,567.2493
2023-07-09,582.2461
2023-07-10,582.2461
2023-07-11,579.9607
2023-07-12,589.7144
2023-07-13,589.7144
2023-07-14,589.7144
2023-07-15,589.7144
2023-07-16,589.7144
2023-07-17,589.7144
2023-07-18,589.7144
2023-07-19,589.7144
2023-07-20,589.7144
2023-07-21,589.7144
2023-07-22,589.7144
2023-07-23,589.7144
2023-07-24,589.7144
2023-07-25,589.7144
2023-07-26,589.7144
2023-07-27,589.7144
2023-07-28,589.7144
2023-07-29,589.7144
2023-07-30,589.7144
2023-07-31,589.7144
2023-08-01,589.7144
2023-08-02,475.7347
2023-08-03,527.3425
2023-08-04,527.3425
2023-08-05,561.939
2023-08-06,562.2606
2023-08-07,562.2606
2023-08-08,573.2563
2023-08-09,589.1525
2023-08-10,589.1525
2023-08-11,579.3189
2023-08-12,588.0119
2023-08-13,588.0119
2023-08-14,588.0119
2023-08-15,588.0119
2023-08-16,588.0119
2023-08-17,588.0119
2023-08-18,588.0119
2023-08-19,588.0119
2023-08-20,588.0119
2023-08-21,588.0119
2023-08-22,588.0119
2023-08-23,588.0119
2023-08-24,588.0119
2023-08-25,588.0119
2023-08-26,588.0119
2023-08-27,588.0119
2023-08-28,588.0119
2023-08-29,588.0119
2023-08-30,588.0119
2023-08-31,588.0119
2023-09-01,477.7684
2023-09-02,479.4358
2023-09-03,540.0526
2023-09-04,540.0526
2023-09-05,563.3736
2023-09-06,570.1945
2023-09-07,570.1945
2023-09-08,572.7737
2023-09-09,572.7737
2023-09-10,584.0455
2023-09-11,567.0393
2023-09-12,567.0393
2023-09-13,567.0393
2023-09-14,567.0393
2023-09-15,567.0393
2023-09-16,567.0393
2023-09-17,567.0393
2023-09-18,567.0393
2023-09-19,567.0393
2023-09-20,567.0393
2023-09-21,567.0393
2023-09-22,567.0393
2023-09-23,567.0393
2023-09-24,567.0393
2023-09-25,567.0393
2023-09-26,567.0393
2023-09-27,567.0393
2023-09-28,567.0393
2023-09-29,567.0393
2023-09-30,567.0393
2023-10-01,487.2879
2023-10-02,483.1532
2023-10-03,543.1889
2023-10-04,565.5706
2023-10-05,558.0581
2023-10-06,558.0581
2023-10-07,583.3333
2023-10-08,572.2513
2023-10-09,572.2513
2023-10-10,584.996
2023-10-11,566.2233
2023-10-12,566.2233
2023-10-13,566.2233
2023-10-14,566.2233
2023-10-15,566.2233
2023-10-16,566.2233
2023-10-17,566.2233
2023-10-18,566.2233
2023-10-19,566.2233
2023-10-20,566.2233
2023-10-21,566.2233
2023-10-22,566.2233
2023-10-23,566.2233
2023-10-24,566.2233
2023-10-25,566.2233
2023-10-26,566.2233
2023-10-27,566.2233
2023-10-28,566.2233
2023-10-29,566.2233
2023-10-30,566.2233
2023-10-31,566.2233
2023-11-01,488.3757
2023-11-02,488.3757
2023-11-03,488.3757
2023-11-04,567.4627
2023-11-05,560.0718
2023-11-06,560.0718
2023-11-07,583.962
2023-11-08,574.7646
2023-11-09,595.1135
2023-11-10,582.8431
2023-11-11,582.8431
2023-11-12,576.9838
2023-11-13,576.9838
2023-11-14,576.9838
2023-11-15,576.9838
2023-11-16,576.9838
2023-11-17,576.9838
2023-11-18,576.9838
2023-11-19,576.9838
2023-11-20,576.9838
2023-11-21,576.9838
2023-11-22,576.9838
2023-11-23,576.9838
2023-11-24,576.9838
2023-11-25,576.9838
2023-11-26,576.9838
2023-11-27,576.9838
2023-11-28,576.9838
2023-11-29,576.9838
2023-11-30,576.9838
2023-12-01,487.9931
2023-12-02,487.9931
2023-12-03,487.9931
2023-12-04,573.9037
2023-12-05,555.9534
2023-12-06,566.5874
2023-12-07,582.3508
2023-12-08,582.3508
2023-12-09,589.7951
2023-12-10,576.473
2023-12-11,576.473
2023-12-12,584.4006
2023-12-13,584.4006
2023-12-14,584.4006
2023-12-15,584.4006
2023-12-16,584.4006
2023-12-17,584.4006
2023-12-18,584.4006
2023-12-19,584.4006
2023-12-20,584.4006
2023-12-21,584.4006
2023-12-22,584.4006
2023-12-23,584.4006
2023-12-24,584.4006
2023-12-25,584.4006
2023-12-26,584.4006
2023-12-27,584.4006
2023-12-28,584.4006
2023-12-29,584.4006
2023-12-30,584.4006
2023-12-31,584.4006
2024-01-01,595.6357
2024-01-02,617.8723
2024-01-03,610.7152
2024-01-04,641.8287
2024-01-05,634.7763
2024-01-06,634.7763
2024-01-07,640.5906
2024-01-08,646.1817
2024-01-09,646.1817
2024-01-10,564.4593
2024-01-11,554.1093
2024-01-12,554.1093
2024-01-13,554.1093
2024-01-14,554.1093
2024-01-15,554.1093
2024-01-16,554.1093
2024-01-17,554.1093
2024-01-18,554.1093
2024-01-19,554.1093
2024-01-20,554.1093
2024-01-21,554.1093
2024-01-22,554.1093
2024-01-23,554.1093
2024-01-24,554.1093
2024-01-25,554.1093
2024-01-26,554.1093
2024-01-27,554.1093
2024-01-28,554.1093
2024-01-29,554.1093
2024-01-30,554.1093
2024-01-31,554.1093
2024-02-01,599.8546
2024-02-02,611.7323
2024-02-03,611.7323
2024-02-04,646.0847
2024-02-05,624.0991
2024-02-06,624.0991
2024-02-07,636.3365
2024-02-08,643.3834
2024-02-09,609.337
2024-02-10,562.3501
2024-02-11,562.3501
2024-02-12,587.1478
2024-02-13,587.1478
2024-02-14,587.1478
2024-02-15,587.1478
2024-02-16,587.1478
2024-02-17,587.1478
2024-02-18,587.1478
2024-02-19,587.1478
2024-02-20,587.1478
2024-02-21,587.1478
2024-02-22,587.1478
2024-02-23,587.1478
2024-02-24,587.1478
2024-02-25,587.1478
2024-02-26,587.1478
2024-02-27,587.1478
2024-02-28,587.1478
2024-02-29,587.1478
2024-03-01,599.6775
2024-03-02,599.6775
2024-03-03,599.6775
2024-03-04,643.8872
2024-03-05,616.2197
2024-03-06,667.9269
2024-03-07,634.6149
2024-03-08,634.6149
2024-03-09,605.5466
2024-03-10,565.2797
2024-03-11,565.2797
2024-03-12,592.0396
2024-03-13,592.0396
2024-03-14,592.0396
2024-03-15,592.0396
2024-03-16,592.0396
2024-03-17,592.0396
2024-03-18,592.0396
2024-03-19,592.0396
2024-03-20,592.0396
2024-03-21,592.0396
2024-03-22,592.0396
2024-03-23,592.0396
2024-03-24,592.0396
2024-03-25,592.0396
2024-03-26,592.0396
2024-03-27,592.0396
2024-03-28,592.0396
2024-03-29,592.0396
2024-03-30,592.0396
2024-03-31,592.0396
2024-04-01,594.2894
2024-04-02,594.2894
2024-04-03,614.9028
2024-04-04,645.0099
2024-04-05,645.0099
2024-04-06,659.8477
2024-04-07,637.7724
2024-04-08,637.7724
2024-04-09,603.3994
2024-04-10,562.2719
2024-04-11,554.9236
2024-04-12,588.3799
2024-04-13,588.3799
2024-04-14,588.3799
2024-04-15,588.3799
2024-04-16,588.3799
2024-04-17,588.3799
2024-04-18,588.3799
2024-04-19,588.3799
2024-04-20,588.3799
2024-04-21,588.3799
2024-04-22,588.3799
2024-04-23,588.3799
2024-04-24,588.3799
2024-04-25,588.3799
2024-04-26,588.3799
2024-04-27,588.3799
2024-04-28,588.3799
2024-04-29,588.3799
2024-04-30,588.3799
2024-05-01,592.485
2024-05-02,615.7225
2024-05-03,627.9635
2024-05-04,645.0859
2024-05-05,645.0859
2024-05-06,657.1955
2024-05-07,641.0427
2024-05-08,646.6154
2024-05-09,591.8348
2024-05-10,591.8348
2024-05-11,550.7883
2024-05-12,587.0969
2024-05-13,587.0969
2024-05-14,587.0969
2024-05-15,587.0969
2024-05-16,587.0969
2024-05-17,587.0969
2024-05-18,587.0969
2024-05-19,587.0969
2024-05-20,587.0969
2024-05-21,587.0969
2024-05-22,587.0969
2024-05-23,587.0969
2024-05-24,587.0969
2024-05-25,587.0969
2024-05-26,587.0969
2024-05-27,587.0969
2024-05-28,587.0969
2024-05-29,587.0969
2024-05-30,587.0969
2024-05-31,587.0969
2024-06-01,587.0969
2024-06-02,611.0129
2024-06-03,625.3634
2024-06-04,625.3634
2024-06-05,621.4418
2024-06-06,656.8013
2024-06-07,656.8013
2024-06-08,642.3191
2024-06-09,593.8972
2024-06-10,593.8972
2024-06-11,555.748
2024-06-12,588.1537
2024-06-13,588.1537
2024-06-14,588.1537
2024-06-15,588.1537
2024-06-16,588.1537
2024-06-17,588.1537
2024-06-18,588.1537
2024-06-19,588.1537
2024-06-20,588.1537
2024-06-21,588.1537
2024-06-22,588.1537
2024-06-23,588.1537
2024-06-24,588.1537
2024-06-25,588.1537
2024-06-26,588.1537
2024-06-27,588.1537
2024-06-28,588.1537
2024-06-29,588.1537
2024-06-30,588.1537
2024-07-01,588.1537
2024-07-02,605.2447
2024-07-03,630.9909
2024-07-04,630.9909
2024-07-05,627.9608
2024-07-06,659.692
2024-07-07,659.692
2024-07-08,651.2134
2024-07-09,651.2134
2024-07-10,562.7485
2024-07-11,559.2982
2024-07-12,559.2982
2024-07-13,559.2982
2024-07-14,559.2982
2024-07-15,559.2982
2024-07-16,559.2982
2024-07-17,559.2982
2024-07-18,559.2982
2024-07-19,559.2982
2024-07-20,559.2982
2024-07-21,559.2982
2024-07-22,559.2982
2024-07-23,559.2982
2024-07-24,559.2982
2024-07-25,559.2982
2024-07-26,559.2982
2024-07-27,559.2982
2024-07-28,559.2982
2024-07-29,559.2982
2024-07-30,559.2982
2024-07-31,559.2982
2024-08-01,593.2328
2024-08-02,603.7079
2024-08-03,630.7261
2024-08-04,640.17
2024-08-05,625.451
2024-08-06,625.451
2024-08-07,648.9807
2024-08-08,659.3693
2024-08-09,659.3693
2024-08-10,561.4784
2024-08-11,554.5459
2024-08-12,554.5459
2024-08-13,554.5459
2024-08-14,554.5459
2024-08-15,554.5459
2024-08-16,554.5459
2024-08-17,554.5459
2024-08-18,554.5459
2024-08-19,554.5459
2024-08-20,554.5459
2024-08-21,554.5459
2024-08-22,554.5459
2024-08-23,554.5459
2024-08-24,554.5459
2024-08-25,554.5459
2024-08-26,554.5459
2024-08-27,554.5459
2024-08-28,554.5459
2024-08-29,554.5459
2024-08-30,554.5459
2024-08-31,554.5459
2024-09-01,598.3226
2024-09-02,600.907
2024-09-03,600.907
2024-09-04,639.8586
2024-09-05,629.5556
2024-09-06,629.5556
2024-09-07,648.8447
2024-09-08,657.0006
2024-09-09,592.7756
2024-09-10,562.4094
2024-09-11,562.4094
2024-09-12,584.8165
2024-09-13,584.8165
2024-09-14,584.8165
2024-09-15,584.8165
2024-09-16,584.8165
2024-09-17,584.8165
2024-09-18,584.8165
2024-09-19,584.8165
2024-09-20,584.8165
2024-09-21,584.8165
2024-09-22,584.8165
2024-09-23,584.8165
2024-09-24,584.8165
2024-09-25,584.8165
2024-09-26,584.8165
2024-09-27,584.8165
2024-09-28,584.8165
2024-09-29,584.8165
2024-09-30,584.8165
2024-10-01,597.6632
2024-10-02,597.6632
2024-10-03,597.6632
2024-10-04,639.3782
2024-10-05,637.6509
2024-10-06,667.4546
2024-10-07,650.9364
2024-10-08,650.9364
2024-10-09,598.1777
2024-10-10,551.0083
2024-10-11,551.0083
2024-10-12,593.9167
2024-10-13,593.9167
2024-10-14,593.9167
2024-10-15,593.9167
2024-10-16,593.9167
2024-10-17,593.9167
2024-10-18,593.9167
2024-10-19,593.9167
2024-10-20,593.9167
2024-10-21,593.9167
2024-10-22,593.9167
2024-10-23,593.9167
2024-10-24,593.9167
2024-10-25,593.9167
2024-10-26,593.9167
2024-10-27,593.9167
2024-10-28,593.9167
2024-10-29,593.9167
2024-10-30,593.9167
2024-10-31,593.9167
2024-11-01,591.6287
2024-11-02,591.6287
2024-11-03,637.9534
2024-11-04,638.7775
2024-11-05,638.7775
2024-11-06,667.6553
2024-11-07,648.7629
2024-11-08,648.7629
2024-11-09,592.7168
2024-11-10,542.4682
2024-11-11,556.7015
2024-11-12,594.98
2024-11-13,594.98
2024-11-14,594.98
2024-11-15,594.98
2024-11-16,594.98
2024-11-17,594.98
2024-11-18,594.98
2024-11-19,594.98
2024-11-20,594.98
2024-11-21,594.98
2024-11-22,594.98
2024-11-23,594.98
2024-11-24,594.98
2024-11-25,594.98
2024-11-26,594.98
2024-11-27,594.98
2024-11-28,594.98
2024-11-29,594.98
2024-11-30,594.98
2024-12-01,592.2302
2024-12-02,600.0432
2024-12-03,638.2393
2024-12-04,639.2861
2024-12-05,639.2861
2024-12-06,659.6735
2024-12-07,650.1403
2024-12-08,653.7051
2024-12-09,589.7935
2024-12-10,589.7935
2024-12-11,561.9091
2024-12-12,581.2624
2024-12-13,581.2624
2024-12-14,581.2624
2024-12-15,581.2624
2024-12-16,581.2624
2024-12-17,581.2624
2024-12-18,581.2624
2024-12-19,581.2624
2024-12-20,581.2624
2024-12-21,581.2624
2024-12-22,581.2624
2024-12-23,581.2624
2024-12-24,581.2624
2024-12-25,581.2624
2024-12-26,581.2624
2024-12-27,581.2624
2024-12-28,581.2624
2024-12-29,581.2624
2024-12-30,581.2624
2024-12-31,581.2624
2025-01-01,602.0925
2025-01-02,602.0925
2025-01-03,602.0925
2025-01-04,615.6043
2025-01-05,633.1555
2025-01-06,633.1555
2025-01-07,616.4268
2025-01-08,604.7042
2025-01-09,569.0184
2025-01-10,608.0862
2025-01-11,608.0862
2025-01-12,622.9217
2025-01-13,622.9217
2025-01-14,622.9217
2025-01-15,622.9217
2025-01-16,622.9217
2025-01-17,622.9217
2025-01-18,622.9217
2025-01-19,622.9217
2025-01-20,622.9217
2025-01-21,622.9217
2025-01-22,622.9217
2025-01-23,622.9217
2025-01-24,622.9217
2025-01-25,622.9217
2025-01-26,622.9217
2025-01-27,622.9217
2025-01-28,622.9217
2025-01-29,622.9217
2025-01-30,622.9217
2025-01-31,622.9217
2025-02-01,609.1095
2025-02-02,609.1095
2025-02-03,609.1095
2025-02-04,612.6292
2025-02-05,632.225
2025-02-06,591.524
2025-02-07,621.4637
2025-02-08,621.4637
2025-02-09,567.2401
2025-02-10,602.8195
2025-02-11,602.8195
2025-02-12,623.4274
2025-02-13,623.4274
2025-02-14,623.4274
2025-02-15,623.4274
2025-02-16,623.4274
2025-02-17,623.4274
2025-02-18,623.4274
2025-02-19,623.4274
2025-02-20,623.4274
2025-02-21,623.4274
2025-02-22,623.4274
2025-02-23,623.4274
2025-02-24,623.4274
2025-02-25,623.4274
2025-02-26,623.4274
2025-02-27,623.4274
2025-02-28,623.4274
2025-03-01,605.7497
2025-03-02,571.1287
2025-03-03,632.5999
2025-03-04,603.4761
2025-03-05,603.4761
2025-03-06,601.2816
2025-03-07,607.1131
2025-03-08,607.1131
2025-03-09,567.6949
2025-03-10,612.6945
2025-03-11,603.8595
2025-03-12,611.6688
2025-03-13,611.6688
2025-03-14,611.6688
2025-03-15,611.6688
2025-03-16,611.6688
